toponyme,derive,transcription_base,transcription_derive,sfx_gentile,allomorphie,topo_compose,type_topo,pays,nb_syll_base,nb_seg_base,der_seg_base
Créteil,cristolien,kʁe.tɛj,kʁis.tɔ.ljɛ̃,ien,1,0,ville,france,2,6,j
Doue,dovinsien,du,do.vɛ̃.sjɛ̃,ien,1,0,ville,france,1,2,u
Elne,illibérien,ɛln,i.li.be.ʁjɛ̃,ien,1,0,ville,france,1,3,n
Estouches,estornacien,ɛs.tuʃ,ɛs.tɔʁ.na.sjɛ̃,ien,1,0,ville,france,2,5,ʃ
Jagny-sous-Bois,johannisien,ʒa.ɲi,ʒo.a.ni.sjɛ̃,ien,1,1,ville,france,2,4,i
Lisieux,lexovien,li.zjø,lɛk.zɔ.vjɛ̃,ien,1,0,ville,france,2,5,ø
Loire,ligérien,lwaʁ,li.ʒe.ʁjɛ̃,ien,1,0,département,france,1,4,ʁ
Londres,londonien,lɔ̃dʁ,lɔ̃.dɔ.njɛ̃,ien,1,0,ville,autre,1,4,ʁ
Louisfert,locférien,lwi.fɛʁ,lɔk.fe.ʁjɛ̃,ien,1,0,ville,france,2,6,ʁ
Louvres,luparien,luvʁ,ly.pa.ʁjɛ̃,ien,1,0,ville,france,1,4,ʁ
Mauchamps,malucampucien,mo.ʃã,ma.ly.kã.py.sjɛ̃,ien,1,0,ville,france,2,4,ã
Mirepoix,mirapicien,miʁ.pwa,mi.ʁa.pi.sjɛ̃,ien,1,0,ville,france,2,6,a
Monnaie,modénien,mɔ.nɛ,mo.de.njɛ̃,ien,1,0,ville,france,2,4,ɛ
Montchauvet,montecalvétien,mɔ̃.ʃo.vɛ,mõ.te.kal.ve.sjɛ̃,ien,1,0,ville,france,3,6,ɛ
Neufchâteau,néocastrien,nø.ʃa.to,ne.o.kas.tʁi.jɛ̃,ien,1,0,ville,france,3,6,o
Poil,pictien,pwal,pik.sjɛ̃,ien,1,0,ville,france,1,4,l
Pontarlier,pontissalien,pɔ̃.taʁ.lje,pɔ̃.ti.sa.ljɛ̃,ien,1,0,ville,france,3,8,e
Rhône,rhodanien,ʁon,ʁo.da.njɛ̃,ien,1,0,département,france,1,3,n
Saillans,sollinien,sa.jã,so.li.njɛ̃,ien,1,0,ville,france,2,4,ã
Carpentras,carpentrassien,kaʁ.pã.tʁa,kaʁ.pã.tʁa.sjɛ̃,ien,1,0,ville,france,3,8,a
Chablais,chablaisien,ʃa.blɛ,ʃa.blɛ.zjɛ̃,ien,1,0,région,autre,2,5,ɛ
Chablis,chablisien,ʃa.bli,ʃa.bli.zjɛ̃,ien,1,0,ville,france,2,5,i
Chalais,chalaisien,ʃa.lɛ,ʃa.lɛ.zjɛ̃,ien,1,0,ville,france,2,4,ɛ
Calais,calaisien,ka.lɛ,ka.lɛ.zjɛ̃,ien,1,0,ville,france,2,4,ɛ
Charnois,charnoisien,ʃaʁ.mwa,ʃaʁ.mwa.zjɛ̃,ien,1,0,ville,france,2,6,a
Chars,charsien,ʃaʁ,ʃaʁ.sjɛ̃,ien,1,0,ville,france,1,3,ʁ
Clais,claisien,klɛ,klɛ.zjɛ̃,ien,1,0,ville,france,1,3,ɛ
Coëtmieux,coëtmieusien,kwɛt.mjø,kwɛt.mjø.zjɛ̃,ien,1,0,ville,france,2,7,ø
Doubs,doubien,du,du.bjɛ̃,ien,1,0,ville,france,1,2,u
Morlaix,morlaisien,mɔʁ.lɛ,mɔʁ.lɛ.zjɛ̃,ien,1,0,ville,france,2,5,ɛ
Ankara,ankarien,ã.ka.ʁa,ã.ka.ʁjɛ̃,ien,1,0,ville,autre,3,5,a
Canada,canadien,ka.na.da,ka.na.djɛ̃,ien,1,0,pays,autre,3,6,a
Guyana,guyanien,gɥi.ja.na,gɥi.ja.njɛ̃,ien,1,0,pays,autre,3,7,a
Isola,isolien,i.zɔ.la,i.zɔ.ljɛ̃,ien,1,0,ville,france,3,5,a
Palaiseau,palaisien,pa.lɛ.zo,pa.lɛ.zjɛ̃,ien,1,0,ville,france,3,6,o
Mespuits,mespussien,mɛ.pɥi,mɛ.py.sjɛ̃,ien,1,0,ville,france,2,5,i
Bissau,bissalien,bi.sa.o,bi.sa.ljɛ̃,ien,1,0,ville,autre,3,5,o
Bouée,bouzien,bu.e,bu.zjɛ̃,ien,1,0,ville,france,2,3,e
Chambry,chambrésien,ʃã.bʁi,ʃã.bʁe.zjɛ̃,ien,1,0,ville,france,2,5,i
Allauch,allaudien,a.lo,a.lo.djɛ̃,ien,1,0,ville,france,2,3,o
Bavay,bavaisien,ba.vɛ,ba.vɛ.zjɛ̃,ien,1,0,ville,france,2,4,ɛ
Cambrai,cambrésien,kã.bʁɛ,kã.bʁe.zjɛ̃,ien,1,0,ville,france,2,5,ɛ
Corlay,corlaysien,kɔʁ.le,kɔʁ.le.zjɛ̃,ien,1,0,ville,france,2,5,e
Courbevoie,courbevoisien,kuʁ.bə.vwa,kuʁ.bə.vwa.zjɛ̃,ien,1,0,ville,france,3,8,a
Courtrai,courtraisien,kuʁ.tʁɛ,kuʁ.tʁɛ.zjɛ̃,ien,1,0,ville,autre,2,6,ɛ
